date, pm25, pm10, o3, no2, so2, co
2024/11/21, 138, 81, 33, 8, 7, 10
2024/11/22, 150, 140, 26, 8, 7, 10
2024/11/23, 144, 74, 25, 7, 8, 7
2024/11/24, 145, 114, 18, 7, 12, 23
2024/11/25, 134, 86, 26, 5, 8, 11
2024/11/26, 163, 66, 25, 4, 9, 9
2024/11/27, 131, 73, 25, 6, 6, 9
2024/11/28, 121, 67, 23, 5, 8, 9
2024/11/29, 126, 35, 11, 3, 8, 9
2024/11/30, 75, 25, 11, 2, 8, 9
2024/12/1, 47, 24, 14, 2, 9, 9
2024/12/2, 47, 57, 17, 4, 9, 9
2024/12/3, 105, 44, 16, 4, 9, 8
2024/12/4, 80, 68, 22, 5, 9, 7
2024/12/5, 133, 55, 20, 4, 9, 9
2024/12/6, 99, 39, 18, 2, 5, 11
2024/12/7, 73, 51, 20, 3, 7, 6
2024/12/8, 87, 53, 25, 5, 8, 9
2024/12/9, 99, 65, 22, 6, 8, 11
2024/12/10, 115, 65, 29, 6, 9, 9
2024/12/11, 120, 83, 36, 6, 9, 7
2024/12/12, 159, 87, 35, 5, 9, 10
2024/12/13, 163, 99, 29, 7, 5, 9
2024/12/14, 158, 88, 29, 17, 5, 8
2024/12/15, 160, 97, 27, 20, 6, 9
2024/12/16, 164, 91, 18, 24, 5, 10
2024/12/17, 127, 63, 17, 19, 5, 7
2024/12/18, 79, 31, 11, 4, 4, 7
2024/12/19, 47, 30, 11, 4, 7, 7
2024/12/20, 58, 43, 10, 5, 8, 5
2024/12/21, 59, 52, 13, 5, 8, 5
2024/12/22, 74, 47, 17, 3, 7, 5
2024/12/23, 73, 30, 12, 3, 7, 7
2024/12/24, 64, 29, 12, 3, 6, 5
2024/12/25, 67, 30, 14, 2, 5, 7
2024/12/26, 55, 64, 21, 3, 8, 7
2024/12/27, 129, 81, 22, 5, 5, 6
2024/12/28, 147, 64, 23, 5, 6, 6
2024/12/29, 116, , , , , 
2024/7/1, 35, 30, 10, 2, 6, 4
2024/7/2, 41, 31, 11, 5, , 
2024/7/3, 38, 30, 8, 2, 6, 
2024/7/4, 38, 31, 11, 2, 17, 3
2024/7/5, 34, 26, 11, 1, 6, 5
2024/7/6, 34, 29, 11, 7, 10, 3
2024/7/7, 42, 26, 15, 2, 9, 5
2024/7/8, 41, 10, 7, 1, 7, 3
2024/7/9, 31, , , , , 
2024/7/11, 65, 36, 17, 5, 7, 3
2024/7/12, 60, 33, 7, 2, 6, 4
2024/7/13, 54, 18, 8, 5, 12, 12
2024/7/14, 43, 6, 5, 1, 8, 4
2024/7/15, 18, 11, 11, 1, 8, 2
2024/7/16, 30, 20, 13, 1, 6, 5
2024/7/17, 51, 12, 4, 1, 5, 2
2024/7/18, 25, 12, 10, 3, 6, 5
2024/7/19, 27, 12, 7, 4, 8, 4
2024/7/20, 31, 14, 7, 3, 12, 4
2024/7/21, 33, 14, 6, 6, 2, 5
2024/7/22, 28, 20, 6, 7, 7, 6
2024/7/23, 25, 29, 6, 8, 10, 5
2024/7/24, 30, 23, 7, 2, 7, 13
2024/7/25, 21, 22, 13, 3, 7, 6
2024/7/26, 28, 29, 10, 1, 9, 3
2024/7/27, 31, 38, 11, 1, 9, 6
2024/7/28, 37, 33, 10, 2, 1, 6
2024/7/29, 45, 39, 11, 3, 5, 7
2024/7/30, 43, 27, 10, 2, 4, 4
2024/7/31, 35, 34, 14, 2, 5, 4
2024/8/1, 37, 26, 419, 2, 7, 5
2024/8/2, 26, 26, 6, 13, 9, 4
2024/8/3, 28, 29, 35, 2, 9, 4
2024/8/4, 31, 33, 6, 3, 10, 4
2024/8/5, 42, 24, 6, 3, 10, 4
2024/8/6, 34, 14, 14, 3, 10, 4
2024/8/7, 27, 29, 14, 2, 8, 4
2024/8/8, 44, 46, 15, 3, 9, 4
2024/8/9, 59, 34, 474, 3, 10, 7
2024/8/10, 47, 25, 10, 3, 10, 3
2024/8/11, 36, 41, 9, 3, 9, 5
2024/8/12, 55, 33, 28, 2, 9, 6
2024/8/13, 53, 39, 5, 8, 8, 6
2024/8/14, 53, 14, 3, 2, 11, 6
2024/8/15, 14, 22, 3, 7, 10, 8
2024/8/16, 34, 26, 5, 12, 8, 6
2024/8/17, 37, 23, 4, 12, 10, 4
2024/8/18, 22, 28, 4, 13, 9, 5
2024/8/19, 44, 41, 11, 10, 5, 9
2024/8/20, 54, 25, 8, 12, 6, 5
2024/8/21, 32, 24, 9, 13, 6, 8
2024/8/22, 28, 22, 9, 14, 5, 7
2024/8/23, 30, 28, 11, 12, 7, 7
2024/8/24, 43, 16, 10, 12, 7, 8
2024/8/25, 25, 19, 13, 14, 7, 4
2024/8/26, 14, 29, 16, 7, 9, 7
2024/8/27, 24, 19, 14, 5, 9, 6
2024/8/28, 21, 32, 19, 6, 7, 5
2024/8/29, 37, 14, 15, 6, 8, 6
2024/8/30, 27, 6, 13, 2, 5, 5
2024/8/31, 15, 4, 14, 2, 6, 7
2024/9/1, 14, 17, 14, 3, 7, 5
2024/9/2, 34, 15, 15, 4, 6, 6
2024/9/3, 24, 21, 13, 3, 6, 5
2024/9/4, 35, 21, 12, 6, 5, 6
2024/9/5, 43, 12, 11, 1, 7, 5
2024/9/6, 17, 12, 10, 2, 10, 6
2024/9/7, 23, 11, 10, 1, 10, 6
2024/9/8, 20, 15, 7, 1, 8, 6
2024/9/9, 29, 17, 8, 1, 9, 5
2024/9/10, 27, 25, 10, 2, 11, 6
2024/9/11, 36, 36, 13, 3, 11, 7
2024/9/12, 46, 54, 16, 3, 13, 5
2024/9/13, 55, 54, 18, 3, 9, 6
2024/9/14, 60, 51, 16, 4, 6, 7
2024/9/15, 59, 38, 15, 3, 6, 7
2024/9/16, 58, 63, 19, 5, 6, 7
2024/9/17, 80, 67, 11, 7, 9, 6
2024/9/18, 85, 66, 19, 7, 8, 9
2024/9/19, 84, 59, 17, 4, 7, 9
2024/9/20, 84, 46, 15, 4, 8, 7
2024/9/21, 76, 41, 17, 4, 9, 5
2024/9/22, 77, 42, 17, 5, 7, 6
2024/9/23, 73, 24, 18, 5, 8, 7
2024/9/24, 54, 19, 12, 4, 5, 6
2024/9/25, 46, 20, 11, 3, 8, 6
2024/9/26, 41, 33, 11, 4, 7, 6
2024/9/27, 48, 36, 15, 3, 7, 6
